Ibat,SOC,Ubat,,,,
0,4.95880277777782,22.8,,,,
-0.01,4.95880000000004,22.8,,,,
0,4.95880000000004,22.8,,,,
0,4.95880000000004,22.8,,,,
0.01,4.95880277777782,22.81,,,,
0.01,4.9588055555556,22.81,,,,
0,4.9588055555556,22.81,,,,
0,4.9588055555556,22.8,,,,
0,4.9588055555556,22.8,,,,
0,4.9588055555556,22.8,,,,
-0.01,4.95880277777782,22.79,,,,
0,4.95880277777782,22.8,,,,
0.01,4.9588055555556,22.81,,,,
0,4.9588055555556,22.78,,,,
-0.01,4.95880277777782,22.79,,,,
0,4.95880277777782,22.8,,,,
0,4.95880277777782,22.8,,,,
0,4.95880277777782,22.8,,,,
0,4.95880277777782,22.8,,,,
-0.01,4.95880000000004,22.8,,,,
-0.01,4.95879722222226,22.8,,,,
0,4.95879722222226,22.8,,,,
0.01,4.95880000000004,22.81,,,,
-0.01,4.95879722222226,22.8,,,,
0.01,4.95880000000004,22.81,,,,
0,4.95880000000004,22.78,,,,
0,4.95880000000004,22.78,,,,
0,4.95880000000004,22.8,,,,
0,4.95880000000004,22.8,,,,
0,4.95880000000004,22.8,,,,
0,4.95880000000004,22.8,,,,
-0.03,4.95879166666671,22.79,,,,
0,4.95879166666671,22.81,,,,
-0.01,4.95878888888893,22.8,,,,
0,4.95878888888893,22.8,,,,
0,4.95878888888893,22.8,,,,
-0.01,4.95878611111115,22.78,,,,
0,4.95878611111115,22.81,,,,
-0.01,4.95878333333338,22.8,,,,
-0.01,4.9587805555556,22.8,,,,
-0.01,4.95877777777782,22.79,,,,
0,4.95877777777782,22.81,,,,
-0.01,4.95877500000004,22.8,,,,
0,4.95877500000004,22.78,,,,
-0.01,4.95877222222226,22.8,,,,
-0.01,4.95876944444449,22.81,,,,
-0.01,4.95876666666671,22.78,,,,
0,4.95876666666671,22.8,,,,
-0.01,4.95876388888893,22.8,,,,
-0.01,4.95876111111115,22.8,,,,
0.01,4.95876388888893,22.81,,,,
-0.01,4.95876111111115,22.8,,,,
0,4.95876111111115,22.8,,,,
-0.01,4.95875833333338,22.8,,,,
0,4.95875833333338,22.8,,,,
0,4.95875833333338,22.81,,,,
0,4.95875833333338,22.8,,,,
0,4.95875833333338,22.8,,,,
-0.01,4.9587555555556,22.8,,,,
-0.01,4.95875277777782,22.8,,,,
-0.01,4.95875000000004,22.78,,,,
-0.01,4.95874722222227,22.8,,,,
0,4.95874722222227,22.81,,,,
