N,Time_N,Iout,Ibat,I3,Uout,Ubat,U3,Tcase,Error,State,Message,Flag,Manual,Trim,Relay,Input,Ndigits_AB,Tdigits_AB,N_KAN,Reg_1000_n,Uout_n,Iout_n,Mode_n,Uset_n,Iset_n,Uab_n,Uac_n,Ubc_n,T_n,Work_KAN,F_CAP_SUM_KIP,T_KKM1_HAWK,T_KKM2_HAWK,T_CASE_HAWK,T_AIR_HAWK,RELAY_STATE
71,2023-06-04T13:23:52.631Z,0,-0.01,0,0,22.53,-0.01,2300,Ошибок нет!,RELAX_40s,Iвых. почти макс.!,On,Avto,14,112,60,3,nan,0 - respond,0,0.16,0.01,Off,29,167,243,0,0,23,1,0,21,21,23,21.3,1
72,2023-06-04T13:23:53.632Z,0,-0.01,0,0,22.54,-0.01,2300,Ошибок нет!,RELAX_40s,Iвых. почти макс.!,On,Avto,14,112,60,4,nan,0 - respond,0,0.15,0.01,Off,29,167,244,0,0,23,1,0,22,21,23,21.3,1
73,2023-06-04T13:23:54.630Z,0,-0.01,0,0,22.57,-0.01,2300,Ошибок нет!,RELAX_40s,Iвых. почти макс.!,On,Avto,14,112,60,1,nan,0 - respond,0,0.16,0.01,Off,29,167,244,0,0,23,1,0,22,21,23,21.3,1
74,2023-06-04T13:23:55.633Z,0,-0.01,0,0,22.57,-0.01,2300,Ошибок нет!,RELAX_40s,Разбаланс батареи,On,Avto,14,112,60,2,nan,0 - respond,0,0.15,0.01,Off,29,167,244,0,0,23,1,0,22,21,23,21.4,1
75,2023-06-04T13:23:56.630Z,0,-0.01,0,0,22.57,-0.01,2300,Ошибок нет!,RELAX_40s,Iвых. почти макс.!,On,Avto,14,112,60,3,nan,0 - respond,0,0.15,0.01,Off,29,167,244,0,0,23,1,0,22,21,23,21.3,1
76,2023-06-04T13:23:57.631Z,0,-0.01,0,0,22.6,-0.01,2300,Ошибок нет!,RELAX_40s,Iвых. почти макс.!,On,Avto,14,112,60,4,nan,0 - respond,0,0.15,0.01,Off,29,167,244,0,0,23,1,0,22,21,23,21.3,1
77,2023-06-04T13:23:58.636Z,0,-0.01,0,0,22.6,-0.01,2300,Ошибок нет!,RELAX_40s,Iвых. почти макс.!,On,Avto,14,112,60,1,nan,0 - respond,0,0.15,0,Off,29,167,244,0,0,23,1,0,22,22,23,21.3,1
78,2023-06-04T13:23:59.634Z,0,-0.01,0,0,22.62,-0.01,2300,Ошибок нет!,RELAX_40s,Iвых. почти макс.!,On,Avto,14,112,60,2,nan,0 - respond,0,0.15,0.01,Off,29,167,244,0,0,23,1,0,22,21,23,21.4,1
79,2023-06-04T13:24:00.632Z,0,-0.01,0,0,22.6,-0.01,2300,Ошибок нет!,RELAX_40s,Iвых. почти макс.!,On,Avto,14,112,60,3,nan,0 - respond,0,0.15,0.01,Off,29,167,244,0,0,23,1,0,22,21,23,21.4,1
80,2023-06-04T13:24:01.632Z,0,-0.01,0,0,22.62,-0.01,2300,Ошибок нет!,RELAX_40s,Iвых. почти макс.!,On,Avto,14,112,60,4,nan,0 - respond,0,0.15,0.01,Off,29,167,244,0,0,23,1,0,22,21,23,21.3,1
