N,I_Real,SOC,U_Real,U_linear_SUN_model,U_result_kf,OCV_from_SOC,SOC_from_OCV,U_non_linear,U_ekf_result,Err_non_linear,squared_Err_non_linear,SOC,,,,,,
133,-0.64,0.998699,25.99,27.8153,26.0118,79.2732,54.8994,-245692,-293419,1.82534,3.3318661156,0.998699,,,,,,
134,-0.53,0.998697,26,27.8199,26.0164,79.2731,54.8297,-245467,-293195,1.81993,3.3121452049,0.998697,,,,,,
135,-0.53,0.998696,26,27.8199,26.0163,79.2731,54.8297,-245690,-293416,1.81991,3.3120724081,0.998696,,,,,,
136,-0.53,0.998694,26,27.8199,26.0163,79.2731,54.8297,-245690,-293414,1.81989,3.3119996121,0.998694,,,,,,
137,-0.59,0.998691,25.99,27.8174,26.0138,79.273,54.8994,-245689,-293412,1.82736,3.3392445696,0.998691,,,,,,
138,-0.64,0.998689,25.99,27.8152,26.0117,79.273,54.8994,-245567,-293290,1.82525,3.3315375625,0.998689,,,,,,
139,-0.53,0.998687,26.01,27.8198,26.0163,79.2729,54.7602,-245465,-293187,1.80983,3.2754846289,0.998687,,,,,,
140,-0.53,0.998685,26,27.8198,26.0163,79.2729,54.8297,-245688,-293408,1.81981,3.3117084361,0.998685,,,,,,
141,-0.53,0.998683,26,27.8198,26.0162,79.2728,54.8297,-245687,-293406,1.8198,3.31167204,0.998683,,,,,,
142,-0.53,0.998681,26,27.8198,26.0162,79.2728,54.8297,-245687,-293404,1.81978,3.3115992484,0.998681,,,,,,
143,-0.59,0.998679,25.98,27.8172,26.0137,79.2728,54.9691,-245686,-293403,1.83725,3.3754875625,0.998679,,,,,,
144,-0.53,0.998677,26,27.8197,26.0162,79.2727,54.8297,-245564,-293280,1.81974,3.3114536676,0.998677,,,,,,
145,-0.59,0.998675,26,27.8172,26.0137,79.2727,54.8297,-245685,-293400,1.81721,3.3022521841,0.998675,,,,,,
146,-0.53,0.998673,25.99,27.8197,26.0162,79.2726,54.8994,-245563,-293277,1.82971,3.3478386841,0.998673,,,,,,
147,-0.53,0.998671,26,27.8197,26.0162,79.2726,54.8297,-245684,-293397,1.81969,3.3112716961,0.998671,,,,,,
148,-0.53,0.998669,26,27.8197,26.0161,79.2725,54.8297,-245684,-293395,1.81967,3.3111989089,0.998669,,,,,,
149,-0.53,0.998667,26,27.8197,26.0161,79.2725,54.8297,-245683,-293393,1.81965,3.3111261225,0.998667,,,,,,
150,-0.59,0.998665,25.99,27.8171,26.0136,79.2725,54.8994,-245683,-293392,1.82712,3.3383674944,0.998665,,,,,,
151,-0.53,0.998663,26,27.8196,26.0161,79.2724,54.8297,-245560,-293269,1.81961,3.3109805521,0.998663,,,,,,
152,-0.53,0.998661,25.99,27.8196,26.0161,79.2724,54.8994,-245682,-293389,1.8296,3.34743616,0.998661,,,,,,
153,-0.59,0.998659,25.98,27.8171,26.0136,79.2723,54.9691,-245681,-293387,1.83707,3.3748261849,0.998659,,,,,,
154,-0.53,0.998657,26,27.8196,26.0161,79.2723,54.8297,-245559,-293264,1.81956,3.3107985936,0.998657,,,,,,
